,Unnamed: 0,vpp0ch0,vpp1ch1,vpp2ch2,vpp3ch3,UVC,UVB,Rch,Gch,Bch,QilMax,VR1,VR4,VR5,VR5B,qpermax,sigmavis,name,target,qilmax
144,4,4391280,1891728,660379,491361,3824777,6883538,308679,797376,940688,430,735,282,1022,818,0.6558044619543051,2046743,Rossignol ski4,1,0.4346108524552297
145,5,4380001,1890370,655380,493777,3823628,6910540,309596,799259,942316,431,726,279,947,757,0.6357446964692065,2051171,Rossignol ski4,1,0.4333595843666412
146,6,4386259,1889835,671058,500246,3801337,6913791,309812,797784,941619,430,723,282,965,772,0.6459724850078569,2049215,Rossignol ski4,1,0.4342515313174641
147,7,4388986,1889280,662349,498635,3818471,6910675,309920,796546,942495,430,696,279,1096,877,0.6332253831397432,2048961,Rossignol ski4,1,0.4308557305021908
148,8,4388329,1889758,670294,500595,3817146,6921011,309740,797928,942782,430,724,281,985,788,0.6464301789391644,2050450,Rossignol ski4,1,0.4305579755255047
149,9,4383271,1888750,661055,500981,3817146,6942438,309418,799880,941788,430,725,277,1007,806,0.632566618968844,2051086,Rossignol ski4,1,0.4327164256620776
150,0,4283547,1973074,738489,488061,3885495,6267161,285563,756781,895751,460,676,359,1439,1151,0.6519097653847664,1938095,Rossignol ski5,1,0.4340291531666954
151,1,4294893,1970018,729156,492746,3726801,6276678,287525,758370,891831,458,721,350,1385,1108,0.6512888669422834,1937726,Rossignol ski5,1,0.431530759546097
152,2,4294431,1965696,728952,488486,3725721,6343704,285546,756013,895724,457,738,352,1446,1157,0.6336676020958848,1937283,Rossignol ski5,1,0.430523753130981
153,3,4302093,1967372,733602,487971,3734200,6389787,286948,755505,895706,457,734,354,1423,1139,0.6379808825455021,1938159,Rossignol ski5,1,0.4296369918824099
154,4,4296534,1976650,732474,494031,3717040,6398062,286463,758086,895895,460,718,351,1377,1101,0.6558044619543051,1940444,Rossignol ski5,1,0.4346108524552297
155,5,4299743,1976743,732406,502090,3732203,6400123,286085,756574,896315,459,709,345,1361,1089,0.6357446964692065,1938974,Rossignol ski5,1,0.4333595843666412
156,6,4296409,1965945,720155,490811,3709894,6432642,286606,755758,894050,457,724,346,1392,1113,0.6459724850078569,1936414,Rossignol ski5,1,0.4342515313174641
157,7,4299588,1989801,736146,497625,3717936,6416860,287128,756189,895330,462,709,353,1425,1140,0.6332253831397432,1938647,Rossignol ski5,1,0.4308557305021908
158,8,4298709,1971111,729260,496286,3722753,6430097,288082,756158,894865,458,723,347,1440,1152,0.6464301789391644,1939105,Rossignol ski5,1,0.4305579755255047
159,9,4292187,1982845,728083,499450,3722753,6444771,285815,756788,895527,461,728,347,1370,1096,0.632566618968844,1938130,Rossignol ski5,1,0.4327164256620776
